SKI RESORT,TOWN,STATE SHORT,COUNTY
Beaver Mountain , Logan Canyon,UT,Cache
Deer Valley , Park City,UT,Summit
Park City Mountain Resort , Park City,UT,Summit
Sundance , Provo,UT,Utah
Cherry Peak Resort , Richmond,UT,Cache
Snowbird , Snowbird,UT,Salt Lake
Bellows Falls Ski Tow , Bellows Falls,VT,Windham
Burke Mountain , East Burke,VT,Caledonia
Smugglers' Notch , Jeffersonville,VT,Lamoille
Quechee Lakes Ski Area , Quechee,VT,Windsor
Hard 'Ack , St. Albans,VT,Franklin
Bryce Resort , Basye-Bryce Mountain,VA,Shenandoah
The Homestead , Hot Springs,VA,Bath
Massanutten Ski Resort , Massanutten,VA,Rockingham
Wintergreen Resort , Wintergreen,VA,Nelson
Echo Valley , Chelan,WA,Chelan
49 Degrees North , Chewelah,WA,Stevens
Mt. Baker , Glacier,WA,Whatcom
Leavenworth Ski Hill , Leavenworth,WA,Chelan
Ski Bluewood ,Dayton,WA,Columbia
Crystal Mountain ,Enumclaw,WA,King
Hurricane Ridge ,Port Angeles,WA,Clallam
Mount Spokane ,Spokane,WA,Spokane
Loup Loup Ski Bowl ,Twisp,WA,Okanogan
Mission Ridge ,Wenatchee,WA,Chelan
The Summit at Snoqualmie ,Snoqualmie Pass,WA,Kittitas
Sahalie Ski Club ,Snoqualmie Pass (private),WA,Kittitas
Meany Lodge ,Stampede Pass (private),WA,Kittitas
Sitzmark Lifts , Tonasket,WA,Okanogan
Badger Mountain , Waterville,WA,Douglas
Canaan Valley Resort , Davis,WV,Tucker
Timberline Four Seasons Resort , Davis,WV,Tucker
Winterplace , Ghent,WV,Raleigh
Oglebay Resort , Wheeling,WV,Ohio
Powers Bluff , Arpin,WI,Wood
Book Across the Bay , Ashland,WI,Ashland
Devils Head Resort , Baraboo,WI,Sauk
Mt. Ashwabay , Bayfield,WI,Bayfield
Christie Mountain , Bruce,WI,Rusk
Telemark Lodge , Cable,WI,Bayfield
Trollhaugen , Dresser,WI,Polk
Alpine Valley Resort , East Troy,WI,Walworth
Keyes Peak , Florence,WI,Florence
Crystal Ridge , Franklin,WI,Milwaukee
Triangle Sports Area , Green Bay,WI,Brown
Badlands Sno-Park , Hudson,WI,St. Croix
Sunburst Ski Area , Kewaskum,WI,Washington
The Mountain Top at Grand Geneva Resort , Lake Geneva,WI,Walworth
Bruce Mound Winter Sports Area , Merrillan,WI,Jackson
Blackhawk Ski Club , Middleton (private),WI,Dane
Whitecap Mountains , Montreal,WI,Iron
Tyrol Basin , Mount Horeb,WI,Dane
Navarino Slopes , Navarino,WI,Shawano
Nutt Hill , Plymouth,WI,Sheboygan
Cascade Mountain , Portage,WI,Columbia
Camp 10 , Rhinelander,WI,Oneida
Little Switzerland Ski Area , Slinger,WI,Washington
